movie	Harry Potter and the Deathly Hallows: Part 2	2011
actor	Rickman, Alan	Harry Potter and the Half-Blood Prince	2009	Professor Severus Snape
actor	Ritter, Paul	Harry Potter and the Half-Blood Prince	2009	Eldred Worple
actor	Enoch, Alfred	Harry Potter and the Half-Blood Prince	2009	Dean Thomas
actor	Felton, Tom	Harry Potter and the Half-Blood Prince	2009	Draco Malfoy
actor	Fiennes-Tiffin, Hero	Harry Potter and the Half-Blood Prince	2009	Tom Riddle (11 Years)
actor	Gambon, Michael	Harry Potter and the Half-Blood Prince	2009	Professor Albus Dumbledore
actor	Spall, Timothy	Harry Potter and the Half-Blood Prince	2009	Wormtail
actor	Stadler, Joerg	Harry Potter and the Half-Blood Prince	2009	Male Inferi
actor	Grint, Rupert	Harry Potter and the Half-Blood Prince	2009	Ron Weasley
actor	Herdman, Josh	Harry Potter and the Half-Blood Prince	2009	Gregory Goyle
actor	Hunt, Rod	Harry Potter and the Half-Blood Prince	2009	Rowle
actor	Ineson, Ralph	Harry Potter and the Half-Blood Prince	2009	Amycus
actor	Bradley, David	Harry Potter and the Half-Blood Prince	2009	Argus Filch
actor	Broadbent, Jim	Harry Potter and the Half-Blood Prince	2009	Professor Horace Slughorn
actor	Knox, Robert	Harry Potter and the Half-Blood Prince	2009	Marcus Belby
actor	Coltrane, Robbie	Harry Potter and the Half-Blood Prince	2009	Rubeus Hagrid
actor	Cordice, Louis	Harry Potter and the Half-Blood Prince	2009	Blaise Zabini
actor	Davis, Warwick	Harry Potter and the Half-Blood Prince	2009	Professor Filius Flitwick
actor	Dillane, Frank	Harry Potter and the Half-Blood Prince	2009	Tom Riddle (16 Years)
movie	Harry Potter and the Order of the Phoenix	2007
director	Yates, David	Harry Potter and the Order of the Phoenix	2007
actress	Leung, Katie	Harry Potter and the Order of the Phoenix	2007	Cho Chang
actress	Haggard, Daisy	Harry Potter and the Order of the Phoenix	2007	Ministry Lift
actress	Hunter, Kathryn	Harry Potter and the Order of the Phoenix	2007	Mrs. Arabella Figg
actress	Hynes, Jessica	Harry Potter and the Order of the Phoenix	2007	Mafalda Hopkirk
actress	Azad, Afshan	Harry Potter and the Order of the Phoenix	2007	Padma Patil
actress	Bonham Carter, Helena	Harry Potter and the Order of the Phoenix	2007	Bellatrix Lestrange
actress	Brook, Apple	Harry Potter and the Order of the Phoenix	2007	Wilhelmina Grubbly-Plank
actress	Chowdhury, Shefali	Harry Potter and the Order of the Phoenix	2007	Parvati Patil
actress	Tena, Natalia	Harry Potter and the Order of the Phoenix	2007	Nymphadora Tonks
actress	Thomas, Sian	Harry Potter and the Order of the Phoenix	2007	Amelia Bones
actress	Thompson, Emma	Harry Potter and the Order of the Phoenix	2007	Sybil Trelawney
actress	Walters, Julie	Harry Potter and the Order of the Phoenix	2007	Molly Weasley
actress	Watson, Emma	Harry Potter and the Order of the Phoenix	2007	Hermione Granger
actress	Wright, Bonnie	Harry Potter and the Order of the Phoenix	2007	Ginny Weasley
actress	Shaw, Fiona	Harry Potter and the Order of the Phoenix	2007	Aunt Petunia Dursley
actress	Smith, Maggie	Harry Potter and the Order of the Phoenix	2007	Minerva McGonagall
actress	Somerville, Geraldine	Harry Potter and the Order of the Phoenix	2007	Lily Potter
actress	Staunton, Imelda	Harry Potter and the Order of the Phoenix	2007	Dolores Umbridge
actress	Lynch, Evanna	Harry Potter and the Order of the Phoenix	2007	Luna Lovegood
actress	Millar, Brigitte	Harry Potter and the Order of the Phoenix	2007	Emmeline Vance
actor	Lanning, Cliff	Harry Potter and the Order of the Phoenix	2007	Edgar Bones
actor	Leaf, Richard	Harry Potter and the Order of the Phoenix	2007	John Dawlish
actor	Lewis, Matthew	Harry Potter and the Order of the Phoenix	2007	Neville Longbottom
actor	MacDougall, Tav	Harry Potter and the Order of the Phoenix	2007	Death Eater
actor	Macklin, Richard	Harry Potter and the Order of the Phoenix	2007	Malcolm
actor	Maudsley, Tony	Harry Potter and the Order of the Phoenix	2007	Grawp
actor	McManus, Jim	Harry Potter and the Order of the Phoenix	2007	Aberforth Dumbledore
actor	Melling, Harry	Harry Potter and the Order of the Phoenix	2007	Dudley Dursley
actor	Melling, William	Harry Potter and the Order of the Phoenix	2007	Nigel 2nd Year
actor	Murray, Devon	Harry Potter and the Order of the Phoenix	2007	Seamus Finnigan
actor	Nelson, Ryan	Harry Potter and the Order of the Phoenix	2007	Slightly Creepy Boy
actor	Oldman, Gary	Harry Potter and the Order of the Phoenix	2007	Sirius Black
actor	Pattinson, Robert	Harry Potter and the Order of the Phoenix	2007	Cedric Diggory
